id,title,part,question_group_id,display_order,created_at,updated_at,stage
1,Part 1 - Photographs 01,1,,1,2026-08-09 14:39:54.200426,2026-08-09 14:39:54.200426,1
2,Part 2 - Question Response 01,2,,1,2026-08-09 14:39:54.200426,2026-08-09 14:39:54.200426,1
3,Part 3 - Conversations 01,3,,1,2026-08-09 14:39:54.200426,2026-08-09 14:39:54.200426,1
4,Part 4 - Talks 01,4,,1,2026-08-09 14:39:54.200426,2026-08-09 14:39:54.200426,1
5,Part 1 - Photographs 02,1,,1,2026-08-09 17:39:46.364778,2026-08-09 17:39:46.364778,2
6,Part 2 - Question Response 02,2,,1,2026-08-09 17:39:46.364778,2026-08-09 17:39:46.364778,2
7,Part 3 - Conversations 02,3,,1,2026-08-09 17:39:46.364778,2026-08-09 17:39:46.364778,2
8,Part 4 - Talks 02,4,,1,2026-08-09 17:39:46.364778,2026-08-09 17:39:46.364778,2
9,Part 1 - Photographs 03,1,,1,2026-08-09 17:39:46.364778,2026-08-09 17:39:46.364778,3
10,Part 2 - Question Response 03,2,,1,2026-08-09 17:39:46.364778,2026-08-09 17:39:46.364778,3
11,Part 3 - Conversations 03,3,,1,2026-08-09 17:39:46.364778,2026-08-09 17:39:46.364778,3
12,Part 4 - Talks 03,4,,1,2026-08-09 17:39:46.364778,2026-08-09 17:39:46.364778,3
13,Part 1 - Photographs 04,1,,1,2026-08-09 17:39:46.364778,2026-08-09 17:39:46.364778,4
14,Part 2 - Question Response 04,2,,1,2026-08-09 17:39:46.364778,2026-08-09 17:39:46.364778,4
15,Part 3 - Conversations 04,3,,1,2026-08-09 17:39:46.364778,2026-08-09 17:39:46.364778,4
16,Part 4 - Talks 04,4,,1,2026-08-09 17:39:46.364778,2026-08-09 17:39:46.364778,4
17,Part 1 - Photographs 05,1,,1,2026-08-09 17:39:46.364778,2026-08-09 17:39:46.364778,5
18,Part 2 - Question Response 05,2,,1,2026-08-09 17:39:46.364778,2026-08-09 17:39:46.364778,5
19,Part 3 - Conversations 05,3,,1,2026-08-09 17:39:46.364778,2026-08-09 17:39:46.364778,5
20,Part 4 - Talks 05,4,,1,2026-08-09 17:39:46.364778,2026-08-09 17:39:46.364778,5
26,test 1,1,,0,2026-08-20 04:20:50.961,2026-08-20 04:20:50.961,1
