id,name,description,display_order,created_at,updated_at,stage
2,Từ loại,Nhận biết và sử dụng các loại từ cơ bản trong tiếng Anh.,2,2026-08-08 17:48:19.226059,2026-08-08 17:48:19.226059,1
3,Danh từ,"Danh từ số ít, số nhiều, đếm được, không đếm được và danh từ ghép.",3,2026-08-08 17:48:19.226059,2026-08-08 17:48:19.226059,1
4,Đại từ,Các loại đại từ và cách sử dụng trong câu.,4,2026-08-08 17:48:19.226059,2026-08-08 17:48:19.226059,1
5,Động từ,"Động từ thường, động từ be, have, do, nội động từ và ngoại động từ.",5,2026-08-08 17:48:19.226059,2026-08-08 17:48:19.226059,1
6,Tính từ,Vị trí và cách sử dụng tính từ trong câu.,6,2026-08-08 17:48:19.226059,2026-08-08 17:48:19.226059,1
7,Trạng từ,Các loại trạng từ và vị trí của trạng từ trong câu.,7,2026-08-08 17:48:19.226059,2026-08-08 17:48:19.226059,1
8,Mạo từ,"Cách sử dụng a, an, the và trường hợp không dùng mạo từ.",8,2026-08-08 17:48:19.226059,2026-08-08 17:48:19.226059,1
9,Giới từ cơ bản,"Các giới từ cơ bản như in, on, at, from, to, for, with, by, about, of.",9,2026-08-08 17:48:19.226059,2026-08-08 17:48:19.226059,1
10,Liên từ cơ bản,"Các liên từ cơ bản như and, but, or, so, because, although.",10,2026-08-08 17:48:19.226059,2026-08-08 17:48:19.226059,1
11,Thì hiện tại đơn,"Cấu trúc, cách dùng, phủ định, nghi vấn và dấu hiệu nhận biết.",11,2026-08-08 17:48:19.226059,2026-08-08 17:48:19.226059,1
12,Thì hiện tại tiếp diễn,"Cấu trúc be + V-ing, cách dùng và dấu hiệu nhận biết.",12,2026-08-08 17:48:19.226059,2026-08-08 17:48:19.226059,1
13,Thì quá khứ đơn,"Cách sử dụng V-ed, động từ bất quy tắc, did và dấu hiệu nhận biết.",13,2026-08-08 17:48:19.226059,2026-08-08 17:48:19.226059,1
14,Thì tương lai cơ bản,Will và be going to cùng các cách sử dụng cơ bản.,14,2026-08-08 17:48:19.226059,2026-08-08 17:48:19.226059,1
15,So sánh cơ bản,"So sánh hơn, so sánh nhất và cấu trúc as...as.",15,2026-08-08 17:48:19.226059,2026-08-08 17:48:19.226059,1
16,Từ chỉ số lượng,"Some, any, much, many, few, little, a lot of và các từ chỉ lượng cơ bản.",16,2026-08-08 17:48:19.226059,2026-08-08 17:48:19.226059,1
17,Hệ thống 12 thì,"Hệ thống đầy đủ các thì hiện tại, quá khứ và tương lai.",1,2026-08-08 17:48:19.226059,2026-08-08 17:48:19.226059,2
18,Sự phối hợp các thì,Cách phối hợp thì và các dấu hiệu thời gian trong câu.,2,2026-08-08 17:48:19.226059,2026-08-08 17:48:19.226059,2
19,Modal Verbs,"Can, could, may, might, must, should, will, would và các động từ khuyết thiếu khác.",3,2026-08-08 17:48:19.226059,2026-08-08 17:48:19.226059,2
20,Gerund,"Cách sử dụng V-ing làm chủ ngữ, tân ngữ và sau giới từ.",4,2026-08-08 17:48:19.226059,2026-08-08 17:48:19.226059,2
