id,user_id,vocabulary_id,learned_at,review_count,next_review,created_at,status,review_level,last_review,updated_at,custom_example,notes
57,2,136,2026-08-03 04:00:55.749,1,2026-08-03 04:30:55.749,2026-08-03 04:00:55.751,LEARNING,1,2026-08-03 04:00:55.749,2026-08-03 04:00:55.751,,
48,2,79,2026-08-02 15:03:47.134,1,2026-08-02 15:33:47.134,2026-08-02 15:03:47.137,LEARNING,1,2026-08-02 15:03:47.134,2026-08-02 15:03:47.137,,
49,2,91,2026-08-02 15:03:48.444,1,2026-08-02 15:33:48.444,2026-08-02 15:03:48.447,LEARNING,1,2026-08-02 15:03:48.444,2026-08-02 15:03:48.447,,
50,2,110,2026-08-02 15:03:50.075,1,2026-08-02 15:33:50.075,2026-08-02 15:03:50.078,LEARNING,1,2026-08-02 15:03:50.075,2026-08-02 15:03:50.078,,
51,2,118,2026-08-02 15:03:56.971,1,2026-08-02 15:33:56.971,2026-08-02 15:03:56.974,LEARNING,1,2026-08-02 15:03:56.971,2026-08-02 15:03:56.974,,
32,2,4,2026-08-02 15:03:41.024,2,2026-08-02 23:04:36.739,2026-08-02 15:03:41.026,REVIEW,2,2026-08-02 20:04:36.739,2026-08-02 20:04:36.742,,
33,2,8,2026-08-02 15:03:41.393,2,2026-08-02 23:04:59.141,2026-08-02 15:03:41.395,REVIEW,2,2026-08-02 20:04:59.142,2026-08-02 20:04:59.144,,
58,2,138,2026-08-03 04:03:22.847,1,2026-08-03 04:33:22.847,2026-08-03 04:03:22.849,LEARNING,1,2026-08-03 04:03:22.847,2026-08-03 04:03:22.849,,
59,2,141,2026-08-03 04:03:45.386,1,2026-08-03 04:33:45.386,2026-08-03 04:03:45.388,LEARNING,1,2026-08-03 04:03:45.386,2026-08-03 04:03:45.388,,
35,2,22,2026-08-02 15:03:42.039,2,2026-08-03 06:53:39.544,2026-08-02 15:03:42.042,REVIEW,2,2026-08-03 03:53:39.544,2026-08-03 03:53:39.546,,
53,2,122,2026-08-03 03:54:14.485,1,2026-08-03 04:24:14.485,2026-08-03 03:54:14.488,LEARNING,1,2026-08-03 03:54:14.485,2026-08-03 03:54:14.488,,
54,2,127,2026-08-03 03:54:17.13,1,2026-08-03 04:24:17.13,2026-08-03 03:54:17.133,LEARNING,1,2026-08-03 03:54:17.13,2026-08-03 03:54:17.133,,
55,2,128,2026-08-03 04:00:40.555,1,2026-08-03 04:30:40.555,2026-08-03 04:00:40.557,LEARNING,1,2026-08-03 04:00:40.555,2026-08-03 04:00:40.557,,
56,2,135,2026-08-03 04:00:43.684,1,2026-08-03 04:30:43.684,2026-08-03 04:00:43.685,LEARNING,1,2026-08-03 04:00:43.684,2026-08-03 04:00:43.685,,
