id,question_id,option_label,option_text,display_order
1,32,A,To request a ticket change,1
2,32,B,To make a dinner reservation,2
3,32,C,To order merchandise,3
4,32,D,To plan a vacation,4
5,33,A,An event was canceled.,1
6,33,B,A line is very long.,2
7,33,C,A payment option is unavailable.,3
8,33,D,A computer program is not working.,4
9,34,A,A meal voucher,1
10,34,B,Some free souvenirs,2
11,34,C,An increase in price,3
12,34,D,A refund policy,4
13,35,A,A job fair,1
14,35,B,A film screening,2
15,35,C,A lunch,3
16,35,D,A conference,4
17,36,A,To suggest inquiring about a ride,1
18,36,B,To express surprise at a coworker's choice of vehicle,2
19,36,C,To explain why a coworker was late,3
20,36,D,To clarify that a coworker helped him move,4
21,37,A,Reschedule an event,1
22,37,B,Talk to another coworker,2
23,37,C,Request time off,3
24,37,D,Make a phone call,4
25,38,A,At a grocery store,1
26,38,B,At a shipping facility,2
27,38,C,At a restaurant,3
28,38,D,At a doctor's office,4
29,39,A,Fuel prices,1
30,39,B,Her work hours,2
31,39,C,A staff shortage,3
32,39,D,An inventory process,4
33,40,A,Complete a training program,1
34,40,B,Order extra equipment,2
35,40,C,Hire a consultant,3
36,40,D,Take time to make a decision,4
37,41,A,Her taxi never arrived.,1
38,41,B,Her luggage is missing.,2
39,41,C,Her train was canceled.,3
40,41,D,Her ticket is lost.,4
41,42,A,An awards ceremony,1
42,42,B,A trade show,2
43,42,C,An art exhibit opening,3
44,42,D,A building inspection,4
45,43,A,A partial discount,1
46,43,B,Vouchers for future travel,2
47,43,C,A full refund,3
48,43,D,A better seat,4
49,44,A,At a distribution center,1
50,44,B,At a conference center,2
51,44,C,At a car dealership,3
52,44,D,At a real estate agency,4
53,45,A,Confusion about the intended recipients,1
54,45,B,A delay in message delivery,2
55,45,C,An incorrectly typed word,3
56,45,D,Lack of information,4
57,46,A,Arrange a meeting,1
58,46,B,Make a phone call,2
59,46,C,Speak to her employees,3
60,46,D,Review an invoice,4
61,47,A,A policy change,1
62,47,B,A product launch,2
63,47,C,Some customer feedback,3
64,47,D,A scheduled maintenance visit,4
65,48,A,Exploring publicity options,1
66,48,B,Finding a new vendor,2
67,48,C,Assembling a sales team,3
68,48,D,Negotiating a monthly fee,4
69,49,A,Customers have complained.,1
70,49,B,Price estimates are high.,2
71,49,C,Some changes require approval.,3
72,49,D,A plan may be delayed.,4
73,50,A,An interview,1
74,50,B,A food delivery,2
75,50,C,A special event,3
76,50,D,An inspection,4
77,51,A,Some flower arrangements,1
78,51,B,Some gifts for attendees,2
