id,english,type,vietnamese,pronounce,explain,example,example_vietnamese,image_url,audio_url,difficulty,cefr_level,toeic_level,frequency,synonyms,antonyms,word_family,collocations,phrasal_verbs,grammar_pattern,common_mistakes,usage_note,topic,mnemonic,mnemonic_type,memory_tip,is_common,stage,created_at,updated_at
,abide,verb,chịu đựng; ở lại,/əˈbaɪd/,Chịu đựng hoặc tiếp tục tồn tại. Trong cấu trúc 'abide by' có nghĩa tuân thủ.,She couldn't abide the noise from the construction.,Cô ấy không thể chịu đựng tiếng ồn từ công trường.,,,medium,B2,600,35,"['tolerate', 'endure', 'bear']","['reject', 'refuse']",['abiding'],"['abide by the rules', 'abide by the law']",['abide by'],abide by + N (when meaning 'comply'),"Thường dùng 'abide by' cho nghĩa tuân thủ, 'abide' ít dùng độc lập.","Trang trọng, dùng trong văn bản pháp lý hoặc khi nói về chịu đựng.",General Business Operations,,,Abide = chịu đựng; abide by = tuân thủ.,True,3,,
,abide by,phrasal verb,tuân thủ; chấp hành,/əˈbaɪd baɪ/,"Tuân thủ hoặc làm theo các quy tắc, luật pháp.",All employees must abide by the company's safety regulations.,Tất cả nhân viên phải tuân thủ quy định an toàn của công ty.,,,medium,B2,600,40,"['comply with', 'follow', 'adhere to']","['violate', 'disregard']",[],"['abide by the rules', 'abide by the agreement']",[],abide by + N,,"Trang trọng, dùng trong ngữ cảnh pháp lý.",General Business Operations,,,Abide by = tuân thủ (cụm từ cố định).,True,3,,
,ability,noun,khả năng; năng lực,/əˈbɪləti/,Sức mạnh hoặc kỹ năng để làm điều gì đó.,She has the ability to manage complex projects effectively.,Cô ấy có khả năng quản lý các dự án phức tạp một cách hiệu quả.,,,easy,A2,500,95,"['capability', 'skill', 'competence']","['inability', 'incapacity']","['able', 'enable']","['ability to do something', 'demonstrate ability']",[],ability to + V,Thường dùng 'of doing' thay vì 'to do' - cấu trúc 'to do' phổ biến hơn.,Countable khi nói về khả năng cụ thể.,General Business Operations,,,Ability = khả năng (nhớ cấu trúc TO DO).,True,2,,
,abolish,verb,bãi bỏ; xóa bỏ,/əˈbɒlɪʃ/,Chấm dứt chính thức một hệ thống hoặc thực hành.,The government abolished the outdated tax law.,Chính phủ đã bãi bỏ luật thuế lỗi thời.,,,medium,B2,700,25,"['eliminate', 'terminate']","['establish', 'implement']",['abolition'],"['abolish a law', 'abolish a system']",[],abolish + N,,"Trang trọng, dùng cho hệ thống hoặc luật.",General Business Operations,,,Abolish = xóa bỏ hoàn toàn.,False,4,,
,abrupt,adjective,đột ngột,/əˈbrʌpt/,Xảy ra đột ngột và không mong đợi.,There was an abrupt change in the schedule.,Có sự thay đổi đột ngột trong lịch trình.,,,medium,B2,600,30,"['sudden', 'unexpected']","['gradual', 'smooth']",['abruptly'],"['abrupt change', 'abrupt departure']",[],Common usage,,Dùng cho sự thay đổi đột ngột.,General Business Operations,,,Abrupt = đột ngột như phanh gấp.,True,3,,
,absorb,verb,thấm hút; hấp thụ; sáp nhập,/əbˈzɔːb/,Hấp thụ hoặc sáp nhập vào tổ chức.,The company absorbed the startup last year.,Công ty đã sáp nhập startup năm ngoái.,,,medium,B1,600,50,"['assimilate', 'incorporate']","['release', 'emit']","['absorption', 'absorbent']","['absorb information', 'absorb costs']",[],absorb + N,,Dùng trong tài chính khi nói về sáp nhập.,Finance & Banking,,,Absorb = hút vào hoặc sáp nhập.,True,3,,
,abundant,adjective,dồi dào; phong phú,/əˈbʌndənt/,Tồn tại với số lượng lớn.,The region has abundant natural resources.,Vùng này có tài nguyên thiên nhiên dồi dào.,,,medium,B2,600,45,"['plentiful', 'ample']","['scarce', 'limited']",['abundance'],"['abundant resources', 'abundant evidence']",[],Common usage,,Dùng để miêu tả số lượng lớn.,Manufacturing & Production,,,Abundant = nhiều đến mức thừa.,True,3,,
,accelerate,verb,tăng tốc; thúc đẩy,/əkˈseləreɪt/,Tăng tốc độ hoặc làm quá trình nhanh hơn.,We need to accelerate the production process.,Chúng ta cần tăng tốc quy trình sản xuất.,,,medium,B2,600,55,"['speed up', 'hasten']","['decelerate', 'slow down']","['acceleration', 'accelerator']","['accelerate growth', 'accelerate development']",[],accelerate + N,Phát âm thường có vấn đề: /əkˈseləreɪt/.,Dùng khi nói về tăng tốc độ.,Manufacturing & Production,,,Accelerate = làm nhanh hơn.,True,3,,
,accept,verb,chấp nhận; đồng ý,/əkˈsept/,Đồng ý nhận hoặc đồng ý với đề xuất.,The board accepted the proposal.,Hội đồng chấp nhận đề xuất.,,,easy,A1,400,98,"['approve', 'agree to']","['reject', 'refuse']","['acceptable', 'acceptance']","['accept an offer', 'accept a proposal']",[],accept + N,Thường nhầm với 'except' (ngoại trừ) - hai từ phát âm giống nhau.,Động từ cơ bản trong kinh doanh.,General Business Operations,,,Accept = nói 'có' với cái gì đó.,True,1,,
,access,noun,quyền truy cập; sự tiếp cận,/ˈækses/,Quyền hoặc cơ hội để sử dụng cái gì đó.,Employees need access to the database.,Nhân viên cần quyền truy cập vào cơ sở dữ liệu.,,,easy,A2,500,92,"['entry', 'admission']","['denial', 'restriction']","['accessible', 'accessibility']","['have access to', 'gain access']",[],have access to + N,Thường nhầm với 'excess' (thừa) - hai từ phát âm giống nhau.,Phổ biến trong IT và kinh doanh.,Technical Areas & IT,,,Access = quyền vào hoặc được dùng.,True,2,,
,accessible,adjective,có thể tiếp cận được,/əkˈsesəbl/,Dễ dàng tiếp cận hoặc sử dụng.,The system is accessible to all users.,Hệ thống có thể tiếp cận được cho tất cả người dùng.,,,medium,B1,500,60,"['available', 'obtainable']","['inaccessible', 'unavailable']","['access', 'accessibility']","['accessible to', 'easily accessible']",[],accessible to + N,,Dùng trong IT và dịch vụ.,Technical Areas & IT,,,Accessible = ai cũng có thể dùng được.,True,2,,
