id,english,type,vietnamese,pronounce,explain,example,example_vietnamese,image_url,audio_url,difficulty,cefr_level,toeic_level,frequency,synonyms,antonyms,word_family,collocations,phrasal_verbs,grammar_pattern,common_mistakes,usage_note,topic,mnemonic,mnemonic_type,memory_tip,is_common,stage,created_at,updated_at
,2FA,noun,xác thực hai yếu tố,/ˌtuː ɛf ˈeɪ/,Phương thức yêu cầu hai yếu tố xác thực trước khi cho phép truy cập.,The company requires 2FA for all remote employees.,Công ty yêu cầu xác thực hai yếu tố đối với tất cả nhân viên làm việc từ xa.,,,medium,C1,800,common,"two-factor authentication, 2-step verification",,"authenticate, authentication","enable 2FA, require 2FA, 2FA code",,require 2FA for + noun,Không nhầm 2FA với mật khẩu kép; 2FA dùng hai yếu tố thuộc các nhóm xác thực khác nhau.,Dạng viết tắt rất phổ biến trong IT.,Technology,"2 = two, FA = factor authentication.",wordplay,2FA = hai yếu tố để xác thực.,TRUE,4,,
,4G,noun,mạng di động thế hệ thứ tư,/ˌfɔːr ˈdʒiː/,"Thế hệ thứ tư của công nghệ mạng di động, cung cấp tốc độ dữ liệu cao hơn các thế hệ trước.",The new phone supports both 4G and 5G networks.,Điện thoại mới hỗ trợ cả mạng 4G và 5G.,,,medium,B2,700,extremely common,fourth-generation mobile network,,generation,"4G network, 4G connection, 4G speed",,support 4G,Không viết thành “4 G” trong tên công nghệ.,Thường dùng khi nói về mạng di động.,Technology,"4 = fourth, G = generation.",wordplay,4G = thế hệ mạng thứ tư.,TRUE,3,,
,4K,noun / adjective,độ phân giải 4K,/ˌfɔːr ˈkeɪ/,Chuẩn video hoặc hình ảnh có độ phân giải cao khoảng 4.000 pixel theo chiều ngang.,The television can display 4K video.,Chiếc tivi có thể hiển thị video 4K.,,,medium,B2,700,common,UHD,,4K,"4K video, 4K display, 4K resolution",,display 4K content,Không đồng nhất 4K hoàn toàn với mọi chuẩn UHD.,4K thường được dùng trong quảng cáo và thiết bị hiển thị để chỉ độ phân giải cao.,Technology,4K = khoảng 4 nghìn pixel ngang,visual,Hãy liên tưởng 4K với hình ảnh cực kỳ sắc nét.,TRUE,3,,
,5G,noun,mạng di động thế hệ thứ năm,/ˌfaɪv ˈdʒiː/,Thế hệ thứ năm của công nghệ mạng di động.,The new factory uses 5G to connect industrial devices.,Nhà máy mới sử dụng 5G để kết nối các thiết bị công nghiệp.,,,medium,B2,750,extremely common,fifth-generation mobile network,4G,,"5G network, 5G technology, 5G connection",,5G-enabled + noun,5G không chỉ có nghĩa là tốc độ Internet nhanh hơn; nó còn hỗ trợ độ trễ thấp và nhiều thiết bị kết nối.,Phổ biến trong công nghệ hiện đại.,Technology,5G = fifth generation,wordplay,"G = Generation, 5G = thế hệ thứ 5.",TRUE,3,,
,abandon,verb,từ bỏ; bỏ lại,/əˈbændən/,"Rời bỏ hoặc ngừng một việc, kế hoạch hay nơi nào đó hoàn toàn.",The company abandoned its plans to build a new factory.,Công ty đã từ bỏ kế hoạch xây một nhà máy mới.,,,medium,B2,700,common,give up; desert; leave,continue; retain,abandonment,abandon a plan; abandon a project; abandon a vehicle,,abandon + noun; abandon plans to-V,Không nhầm abandon với give up trong mọi ngữ cảnh; abandon thường nhấn mạnh việc bỏ hẳn một thứ hoặc kế hoạch.,Từ khá nâng cao nhưng hữu ích trong Reading.,Business,abandon = bỏ hẳn,association,abandon a plan = từ bỏ kế hoạch,TRUE,4,,
,abdominal pain,noun,đau bụng,/æbˈdɑːmɪnəl peɪn/,Cơn đau ở vùng bụng.,The patient reported severe abdominal pain.,Bệnh nhân cho biết bị đau bụng dữ dội.,,,medium,B1,600,common,"stomach pain, abdominal discomfort",,"abdomen, abdominal","severe abdominal pain, chronic abdominal pain, lower abdominal pain",,experience/report abdominal pain,"Abdominal mang nghĩa “thuộc về vùng bụng”, không chỉ riêng dạ dày.",Thuật ngữ y khoa trang trọng hơn stomachache.,Health,abdomen = bụng → abdominal = thuộc về bụng.,word_family,abdominal pain = đau vùng bụng,TRUE,2,,
,abide,verb,tuân theo; chịu đựng,/əˈbaɪd/,"Thường dùng với nghĩa tuân theo một quy định, luật lệ; cũng có nghĩa chịu đựng.",Employees must abide by company regulations.,Nhân viên phải tuân theo các quy định của công ty.,,,medium,B2,700,common,"obey, comply with","disobey, violate","abode, abiding","abide by the rules, abide by regulations",,abide by + noun,Dễ nhầm abide với abide by khi nói về tuân thủ.,"Trong TOEIC, abide by phổ biến hơn nhiều.",Office / Rules,abide by = ở bên cạnh quy định và làm theo nó.,association,Nhớ cụm abide by = tuân thủ.,TRUE,3,,
,abide by,phrasal verb,tuân theo; chấp hành,/əˈbaɪd baɪ/,"Tuân thủ luật lệ, quy định, thỏa thuận hoặc nguyên tắc.",All employees must abide by the safety rules.,Tất cả nhân viên phải tuân thủ các quy định an toàn.,,,medium,B2,700,extremely common,"comply with, obey, follow","violate, break","abide, abiding","abide by the law, abide by the agreement, abide by the rules",,abide by + noun,Không dùng abide with để diễn tả tuân thủ.,Đây là cụm rất đáng học trong TOEIC.,Office / Rules,by = theo → abide by = làm theo.,wordplay,Gặp abide by → nghĩ ngay tuân theo.,TRUE,3,,
,ability,noun,khả năng; năng lực,/əˈbɪləti/,Khả năng làm một việc hoặc thực hiện một nhiệm vụ.,The candidate has the ability to communicate effectively.,Ứng viên có khả năng giao tiếp hiệu quả.,,,easy,B1,600,extremely common,"capability, capacity, skill","inability, incapability","able, unable, ably","ability to do, ability to work, ability to communicate",,ability to + verb,Không dùng ability of do; dùng ability to do.,Thường đi với to + V.,Work / Skills,able = có thể → ability = khả năng.,word_family,Học cùng able → ability → unable.,TRUE,2,,
,abnormal,adjective,bất thường,/æbˈnɔːrməl/,Khác với mức hoặc trạng thái bình thường.,The technician reported an abnormal increase in machine temperature.,Kỹ thuật viên báo cáo nhiệt độ máy tăng bất thường.,,,medium,B2,700,common,"unusual, atypical","normal, typical","abnormal, abnormally, abnormality","abnormal condition, abnormal behavior, abnormal increase",,abnormal + noun,Không nhầm abnormal với unusual trong mọi trường hợp; abnormal thường hàm ý lệch khỏi trạng thái bình thường.,"Thường dùng trong báo cáo kỹ thuật, y tế và kiểm tra chất lượng.",Manufacturing,abnormal = not normal,contrast,abnormal = không bình thường,TRUE,3,,
,abnormal result,noun,kết quả bất thường,/æbˈnɔːrməl rɪˈzʌlt/,Kết quả xét nghiệm khác với phạm vi hoặc mức được xem là bình thường.,The doctor ordered another test after receiving an abnormal result.,Bác sĩ yêu cầu một xét nghiệm khác sau khi nhận kết quả bất thường.,,,easy,B1,600,common,unusual result,normal result,"abnormal, normally, result","abnormal test result, abnormal blood result, receive an abnormal result",,receive/show an abnormal result,Abnormal không đồng nghĩa chắc chắn với serious disease.,Thường gặp trong thông báo và báo cáo xét nghiệm.,Health,abnormal = không bình thường.,contrast,abnormal ↔ normal,TRUE,2,,
,aboard,adverb / preposition,trên tàu; trên máy bay; trên phương tiện,/əˈbɔːrd/,"Ở trên hoặc vào một phương tiện như tàu, máy bay hoặc xe.",All passengers must be aboard the train by 8:15.,Tất cả hành khách phải có mặt trên tàu trước 8:15.,,,medium,B1,600,common,"on board, on",ashore,,"aboard a ship, aboard the aircraft, all aboard",,aboard + vehicle,"Aboard thường dùng cho tàu, máy bay và phương tiện; on board phổ biến hơn trong nhiều ngữ cảnh.",Không nhầm aboard với abroad = ở nước ngoài.,Transportation / Travel,aboard ≠ abroad,contrast,aboard = on a vehicle,TRUE,2,,
,abolish,verb,bãi bỏ; hủy bỏ,/əˈbɒlɪʃ/,"Chính thức chấm dứt một luật, hệ thống, quy định hoặc tập tục.",The government plans to abolish the outdated regulation.,Chính phủ dự định bãi bỏ quy định lỗi thời.,,,hard,C1,850,common,"eliminate, repeal, terminate","establish, introduce, create","abolition, abolitionist","abolish a law, abolish a system, abolish a regulation",,abolish + noun,Không dùng cho việc đơn giản như hủy một cuộc họp; dùng cancel trong trường hợp đó.,"Thường dùng với luật, hệ thống, chính sách, quy định.",Government / Rules,abolish = làm cho một luật biến mất hoàn toàn.,visual,Tưởng tượng xóa một điều luật khỏi sách.,FALSE,4,,
,above,preposition / adverb / adjective,ở trên; cao hơn; hơn,/əˈbʌv/,Ở vị trí cao hơn hoặc có giá trị lớn hơn một mức nhất định.,Please see the information above for details.,Vui lòng xem thông tin ở trên để biết chi tiết.,,,easy,A2,400,extremely common,"over, higher than","below, under",,"above average, above the entrance, above-mentioned",,above + noun; above + number/level,Không nhầm above với over trong mọi trường hợp; above thường nhấn mạnh vị trí hoặc mức cao hơn.,Above average là cụm rất phổ biến.,Office; General,above = higher than,visual,above = ở phía trên,TRUE,1,,
,abroad,adverb,ở nước ngoài; ra nước ngoài,/əˈbrɔːd/,Ở hoặc đến một quốc gia khác với quốc gia của mình.,The company plans to expand abroad next year.,Công ty dự định mở rộng ra nước ngoài vào năm tới.,,,easy,B1,500,extremely common,"overseas, internationally",domestically,,"work abroad, travel abroad, study abroad",,go/travel/live/work abroad,Không dùng abroad với a/the; không nói go to abroad.,Abroad thường không cần giới từ trước nó.,Travel; Business,abroad = outside your country,association,travel abroad = đi nước ngoài,TRUE,2,,
,abrupt,adjective,đột ngột; bất ngờ; cộc lốc,/əˈbrʌpt/,Xảy ra bất ngờ hoặc kết thúc đột ngột; cũng có thể mô tả cách cư xử thiếu mềm mỏng.,The meeting came to an abrupt end.,Cuộc họp kết thúc đột ngột.,,,hard,C1,850,common,"sudden, unexpected, hasty","gradual, smooth, gentle","abruptly, abruptness","abrupt change, abrupt end, abrupt decision",,be abrupt; abruptly + verb,Không đồng nghĩa hoàn toàn với sudden trong mọi ngữ cảnh; abrupt thường nhấn mạnh sự thiếu chuyển tiếp.,abruptly rất thường gặp trong Reading.,Business / Events,abrupt nghe như một cú brupt → xảy ra cái rụp.,association,"Nhớ abrupt = đột ngột, không có chuyển tiếp.",FALSE,4,,
