id,question_id,option_label,option_text,display_order
125,63,A,At 9 A.M.,1
405,133,A,I,1
182,77,B,A marine biologist,2
1,32,A,To request a ticket change,1
2,32,B,To make a dinner reservation,2
3,32,C,To order merchandise,3
4,32,D,To plan a vacation,4
5,33,A,An event was canceled.,1
6,33,B,A line is very long.,2
7,33,C,A payment option is unavailable.,3
8,33,D,A computer program is not working.,4
9,34,A,A meal voucher,1
10,34,B,Some free souvenirs,2
11,34,C,An increase in price,3
12,34,D,A refund policy,4
13,35,A,A job fair,1
14,35,B,A film screening,2
15,35,C,A lunch,3
16,35,D,A conference,4
17,36,A,To suggest inquiring about a ride,1
18,36,B,To express surprise at a coworker's choice of vehicle,2
19,36,C,To explain why a coworker was late,3
20,36,D,To clarify that a coworker helped him move,4
21,37,A,Reschedule an event,1
22,37,B,Talk to another coworker,2
23,37,C,Request time off,3
24,37,D,Make a phone call,4
25,38,A,At a grocery store,1
26,38,B,At a shipping facility,2
27,38,C,At a restaurant,3
28,38,D,At a doctor's office,4
29,39,A,Fuel prices,1
30,39,B,Her work hours,2
31,39,C,A staff shortage,3
32,39,D,An inventory process,4
33,40,A,Complete a training program,1
34,40,B,Order extra equipment,2
35,40,C,Hire a consultant,3
36,40,D,Take time to make a decision,4
37,41,A,Her taxi never arrived.,1
38,41,B,Her luggage is missing.,2
39,41,C,Her train was canceled.,3
40,41,D,Her ticket is lost.,4
41,42,A,An awards ceremony,1
42,42,B,A trade show,2
43,42,C,An art exhibit opening,3
44,42,D,A building inspection,4
45,43,A,A partial discount,1
46,43,B,Vouchers for future travel,2
47,43,C,A full refund,3
48,43,D,A better seat,4
49,44,A,At a distribution center,1
50,44,B,At a conference center,2
51,44,C,At a car dealership,3
52,44,D,At a real estate agency,4
53,45,A,Confusion about the intended recipients,1
54,45,B,A delay in message delivery,2
55,45,C,An incorrectly typed word,3
56,45,D,Lack of information,4
57,46,A,Arrange a meeting,1
58,46,B,Make a phone call,2
59,46,C,Speak to her employees,3
60,46,D,Review an invoice,4
61,47,A,A policy change,1
62,47,B,A product launch,2
63,47,C,Some customer feedback,3
64,47,D,A scheduled maintenance visit,4
65,48,A,Exploring publicity options,1
66,48,B,Finding a new vendor,2
67,48,C,Assembling a sales team,3
68,48,D,Negotiating a monthly fee,4
69,49,A,Customers have complained.,1
70,49,B,Price estimates are high.,2
71,49,C,Some changes require approval.,3
72,49,D,A plan may be delayed.,4
73,50,A,An interview,1
74,50,B,A food delivery,2
75,50,C,A special event,3
76,50,D,An inspection,4
77,51,A,Some flower arrangements,1
78,51,B,Some gifts for attendees,2
79,51,C,Some audio equipment,3
80,51,D,Some tables and chairs,4
81,52,A,Review a guest list,1
82,52,B,Meet with a photographer,2
83,52,C,Take a break,3
84,52,D,Taste some food,4
85,53,A,A bank opening,1
86,53,B,A contest,2
87,53,C,A business conference,3
88,53,D,A company anniversary,4
89,54,A,He finally fully understands a problem.,1
90,54,B,The woman should expect a bill in the mail.,2
91,54,C,The woman's assumption is incorrect.,3
92,54,D,A schedule needs to be adjusted.,4
93,55,A,Using an outdoor area,1
94,55,B,Arranging technical support,2
95,55,C,Confirming a catering menu,3
96,55,D,Interviewing some job applicants,4
97,56,A,Medicine,1
98,56,B,Music,2
99,56,C,Publishing,3
100,56,D,Finance,4
101,57,A,It is less expensive than similar products.,1
102,57,B,It makes information more accessible.,2
103,57,C,It reduces environmental impact.,3
104,57,D,It comes with customer support.,4
105,58,A,Contact some service providers,1
106,58,B,Sign a release form,2
107,58,C,Check some financial information,3
108,58,D,Repair some equipment,4
109,59,A,Proposing a business merger,1
110,59,B,Relocating a company's headquarters,2
111,59,C,Developing additional products,3
112,59,D,Hiring more employees,4
113,60,A,A profit margin will decrease.,1
114,60,B,Additional equipment will be needed.,2
115,60,C,There are not enough job applicants.,3
116,60,D,There are delays in production.,4
117,61,A,Contact a facility manager,1
118,61,B,Adjust a budget,2
119,61,C,Change a work schedule,3
120,61,D,Research a product,4
121,62,A,It offers a chance to see migrating birds.,1
122,62,B,Water conditions are likely to be favorable.,2
123,62,C,A guest chef is preparing lunch.,3
124,62,D,Someone special will be guiding the tour.,4
126,63,B,At 10 A.M.,2
127,63,C,At 11 A.M.,3
128,63,D,At 12 P.M.,4
129,64,A,Return to her hotel,1
130,64,B,Visit a café,2
131,64,C,Call a friend,3
132,64,D,Store her bags in a locker,4
