id,english,type,vietnamese,pronounce,explain,example,example_vietnamese,image_url,audio_url,topic,topic_url,created_at
1,basis,n.,"Nền tảng, cơ sở, căn cứ",/'beisis/,the reason why people take a particular action,The manager didn't have any basis for firing the employee.,Người trưởng phòng không có bất kỳ cơ sở nào cho việc sa thải người nhân viên.,https://audio.tflat.vn/data/cache/images/300x225/b/a/basis.jpg,https://audio.tflat.vn/audio/b/a/basis.mp3,Salaries & Benefits,https://tienganhtflat.com/blog/toeic-words-salaries-benefits,2026-07-24 17:22:34.132489
2,benefit,n.,Lợi ích,/'benifit/,an advantage that something gives you,The discovery of oil brought many benefits to the country.,Việc phát hiện ra dầu hỏa mang đến nhiều lợi ích cho đất nước đó.,https://audio.tflat.vn/data/images_example/300x225/t/h/the_discov_ex1_56248d157f8b9a040dc65ecc.jpg,https://audio.tflat.vn/audio/b/e/benefit.mp3,Salaries & Benefits,https://tienganhtflat.com/blog/toeic-words-salaries-benefits,2026-07-24 17:22:34.132489
3,compensate,v.,"Bù, đền bù, bồi thường",/'kɔmpenseit/,"to provide something good to balance or reduce the bad effects of damage, loss","If you are injured in a traffic accident, you can be compensated for your losses.","Nếu bạn bị thương trong một tai nạn giao thông, bạn có thể được bồi thường mọi thiệt hại. ",https://audio.tflat.vn/data/cache/images/300x225/c/o/compensate1.png,https://audio.tflat.vn/audio/c/o/compensate.mp3,Salaries & Benefits,https://tienganhtflat.com/blog/toeic-words-salaries-benefits,2026-07-24 17:22:34.132489
4,delicately,adv.,"‹một cách› tinh vi, tế nhị, lịch thiệp",/ˈdelɪkət/,easily damaged or broken,The manager delicately asked about the health of his client.,Người trưởng phòng tế nhị hỏi thăm sức khỏe khách hàng của anh ta.,https://audio.tflat.vn/data/cache/images/300x225/d/e/delicately1.jpg,https://audio.tflat.vn/audio/d/e/delicately.mp3,Salaries & Benefits,https://tienganhtflat.com/blog/toeic-words-salaries-benefits,2026-07-24 17:22:34.132489
5,eligible,adj.,"Thích hợp, đủ tư cách, đủ tiêu chuẩn; có thể chọn được",/ˈɛlɪdʒɪb(ə)l/,"able to practicipate in something, qualified",Who is eligible to become president?,Ai sẽ đủ tiêu chuẩn để trở thành tổng thống?,https://audio.tflat.vn/data/cache/images/300x225/e/l/eligible2.jpg,https://audio.tflat.vn/audio/e/l/eligible.mp3,Salaries & Benefits,https://tienganhtflat.com/blog/toeic-words-salaries-benefits,2026-07-24 17:22:34.132489
6,flexibly,adv.,"‹một cách› mềm dẻo, linh hoạt, linh động",/ˈfleksəbl/,able to change to suit new conditions or situations,"My manager thinks flexibly, enabling herself to solve many sticky problems.","Trưởng phòng của tôi suy nghĩ linh hoạt, cho phép bà tự giải quyết nhiều vấn đề khó chịu.",https://audio.tflat.vn/data/cache/images/300x225/f/l/flexibly.jpg,https://audio.tflat.vn/audio/f/l/flexibly.mp3,Salaries & Benefits,https://tienganhtflat.com/blog/toeic-words-salaries-benefits,2026-07-24 17:22:34.132489
7,negotiate,v.,"Thương lượng, đàm phán, điều đình",/ni'gouʃieit/,to try to reach an agreement by formal discussion,You must know what you want and what you can accept when you negotiate a salary.,Anh phải biết mình muốn gì và mình có thể chấp nhận gì khi thương lượng về lương bổng.,https://audio.tflat.vn/data/cache/images/300x225/n/e/negotiate1.png,https://audio.tflat.vn/audio/n/e/negotiate.mp3,Salaries & Benefits,https://tienganhtflat.com/blog/toeic-words-salaries-benefits,2026-07-24 17:22:34.132489
8,retire,v.,Nghỉ hưu,/ri'taiə/,"to stop doing your job, especially because you have reached a particular age",She was forced to retire early from teaching because of ill health.,Cô bị buộc phải nghỉ hưu sớm trong việc giảng dạy vì lý do sức khỏe.,https://audio.tflat.vn/data/cache/images/300x225/r/e/retire1.png,https://audio.tflat.vn/audio/r/e/retire.mp3,Salaries & Benefits,https://tienganhtflat.com/blog/toeic-words-salaries-benefits,2026-07-24 17:22:34.132489
9,vested,adj.,"Được trao, được ban",/'vestid/,to give somebody the legal right or power to do something,"The day that Ms. Weng became fully vested in the retirement plan, she gave her two weeks' notice.","Ngày mà bà Weng được trao đầy đủ kế hoạch nghỉ hưu, bà đã nhận thông báo trước 2 tuần.",https://audio.tflat.vn/data/cache/images/300x225/v/e/vested1.jpg,https://audio.tflat.vn/audio/v/e/vested.mp3,Salaries & Benefits,https://tienganhtflat.com/blog/toeic-words-salaries-benefits,2026-07-24 17:22:34.132489
10,wage,n.,"Tiền công, tiền lương (thường trả theo giờ)",/weidʤ/,"a regular amount of money that you earn, usually every week, for work",Hourly wages have increase by 20 percent over the last two years.,Tiền công theo giờ đã tăng 20% qua 2 năm vừa rồi.,https://audio.tflat.vn/data/cache/images/300x225/w/a/wage1.png,https://audio.tflat.vn/audio/w/a/wage.mp3,Salaries & Benefits,https://tienganhtflat.com/blog/toeic-words-salaries-benefits,2026-07-24 17:22:34.132489
11,be aware of,v.,"Am hiểu, biết",/bi: ə'weə əv/,to be conscious of,Are you aware of the new employee's past work history?,Anh có biết về lịch sử làm việc trước đây của người nhân viên mới không?,https://audio.tflat.vn/data/cache/images/300x225/b/e/be_aware_of.jpg,https://audio.tflat.vn/audio/b/e/be_aware_of.mp3,Salaries & Benefits,https://tienganhtflat.com/blog/toeic-words-salaries-benefits,2026-07-24 17:22:34.132489
12,raise,v.,"Nâng lên, đưa lên",/reiz/,n: an increase in salary; v: to move up,The government plans to raise taxes.,Chính phủ đang có kế hoạch tăng mức thuế.,https://audio.tflat.vn/data/cache/images/300x225/r/a/raise1.png,https://audio.tflat.vn/audio/r/a/raise.mp3,Salaries & Benefits,https://tienganhtflat.com/blog/toeic-words-salaries-benefits,2026-07-24 17:22:34.132489
13,apprehensive,adj.,"Sợ hãi, e sợ; hiểu rõ, cảm thấy rõ, tiếp thu nhanh","/,æpri'hensiv/",worried or frightened that something unpleasant may happen,The mortgage lender was apprehensive about the company's ability to pay.,Người cho vay thế chấp e ngại về khả năng thanh toán của công ty.,https://audio.tflat.vn/data/cache/images/300x225/a/p/apprehensive2.jpg,https://audio.tflat.vn/audio/a/p/apprehensive.mp3,Renting and Leasing,https://tienganhtflat.com/blog/toeic-words-renting-and-leasing,2026-07-24 17:22:34.132489
