id,title,part,display_order,created_at,updated_at,description,difficulty
1,Reading Part 5 – Stage 1,5,1,2026-08-10 11:21:11.417224,2026-08-10 11:21:11.417224,Chọn từ hoặc cụm từ phù hợp để hoàn thành câu. Tập trung vào ngữ pháp và từ vựng cơ bản.,1
2,Reading Part 5 – Stage 2,5,2,2026-08-10 11:21:11.417224,2026-08-10 11:21:11.417224,"Luyện tập từ loại, cấu trúc câu và các điểm ngữ pháp thường gặp trong TOEIC Part 5.",2
3,Reading Part 5 – Stage 3,5,3,2026-08-10 11:21:11.417224,2026-08-10 11:21:11.417224,Luyện tập ngữ pháp và từ vựng ở mức trung cấp với các câu có nhiều bẫy hơn.,3
4,Reading Part 5 – Stage 4,5,4,2026-08-10 11:21:11.417224,2026-08-10 11:21:11.417224,"Luyện tập các cấu trúc ngữ pháp nâng cao, từ vựng theo ngữ cảnh và câu hỏi khó.",4
5,Reading Part 5 – Stage 5,5,5,2026-08-10 11:21:11.417224,2026-08-10 11:21:11.417224,Luyện tập Part 5 nâng cao theo phong cách đề thi TOEIC 800–990.,5
6,Reading Part 6 – Stage 1,6,6,2026-08-10 11:21:11.417224,2026-08-10 11:21:11.417224,Hoàn thành đoạn văn ngắn bằng cách chọn từ hoặc cụm từ phù hợp.,1
7,Reading Part 6 – Stage 2,6,7,2026-08-10 11:21:11.417224,2026-08-10 11:21:11.417224,"Luyện tập từ vựng, ngữ pháp và liên kết câu trong các đoạn văn TOEIC Part 6.",2
8,Reading Part 6 – Stage 3,6,8,2026-08-10 11:21:11.417224,2026-08-10 11:21:11.417224,Luyện tập hoàn thành đoạn văn với nhiều dạng câu hỏi và từ vựng theo ngữ cảnh.,3
9,Reading Part 6 – Stage 4,6,9,2026-08-10 11:21:11.417224,2026-08-10 11:21:11.417224,"Luyện tập các đoạn văn khó hơn, chú trọng liên kết ý và lựa chọn câu phù hợp.",4
10,Reading Part 6 – Stage 5,6,10,2026-08-10 11:21:11.417224,2026-08-10 11:21:11.417224,Luyện tập Part 6 nâng cao theo phong cách đề thi TOEIC 800–990.,5
11,Reading Part 7 – Stage 1,7,11,2026-08-10 11:21:11.417224,2026-08-10 11:21:11.417224,Đọc hiểu các đoạn văn đơn và xác định thông tin trực tiếp trong bài.,1
12,Reading Part 7 – Stage 2,7,12,2026-08-10 11:21:11.417224,2026-08-10 11:21:11.417224,"Luyện tập tìm thông tin chi tiết, ý chính và từ đồng nghĩa trong bài đọc.",2
13,Reading Part 7 – Stage 3,7,13,2026-08-10 11:21:11.417224,2026-08-10 11:21:11.417224,Luyện tập các bài đọc dài hơn và câu hỏi suy luận trong TOEIC Part 7.,3
14,Reading Part 7 – Stage 4,7,14,2026-08-10 11:21:11.417224,2026-08-10 11:21:11.417224,"Luyện tập bài đọc khó, nhiều thông tin và các câu hỏi suy luận nâng cao.",4
15,Reading Part 7 – Stage 5,7,15,2026-08-10 11:21:11.417224,2026-08-10 11:21:11.417224,Luyện tập Part 7 nâng cao theo phong cách đề thi TOEIC 800–990.,5
