id,question_id,option_label,option_text,is_correct,display_order,created_at
1,1,A,A woman is planting some trees.,f,1,2026-08-09 17:24:00.807443
2,1,B,A woman is picking flowers.,f,2,2026-08-09 17:24:00.807443
3,1,C,A woman is watering flowers in a garden.,t,3,2026-08-09 17:24:00.807443
4,1,D,A woman is cleaning a window.,f,4,2026-08-09 17:24:00.807443
5,2,A,A man is talking on the telephone.,f,1,2026-08-09 17:24:00.807443
6,2,B,A man is working on his computer in an office.,t,2,2026-08-09 17:24:00.807443
7,2,C,A man is moving some furniture.,f,3,2026-08-09 17:24:00.807443
8,2,D,A man is opening a window.,f,4,2026-08-09 17:24:00.807443
9,3,A,A woman is waiting for a taxi.,f,1,2026-08-09 17:24:00.807443
10,3,B,A woman is buying a train ticket.,f,2,2026-08-09 17:24:00.807443
11,3,C,A woman is looking at a departure board.,t,3,2026-08-09 17:24:00.807443
12,3,D,A woman is carrying a suitcase.,f,4,2026-08-09 17:24:00.807443
13,4,A,A customer is driving a vehicle.,f,1,2026-08-09 17:24:00.807443
14,4,B,A mechanic is explaining something to a customer.,t,2,2026-08-09 17:24:00.807443
15,4,C,A mechanic is washing a car.,f,3,2026-08-09 17:24:00.807443
16,4,D,A customer is changing a tire.,f,4,2026-08-09 17:24:00.807443
17,5,A,A delivery man is loading a truck.,f,1,2026-08-09 17:24:00.807443
18,5,B,A man is carrying some boxes upstairs.,f,2,2026-08-09 17:24:00.807443
19,5,C,A man is opening a package.,f,3,2026-08-09 17:24:00.807443
20,5,D,A delivery man is ringing a doorbell.,t,4,2026-08-09 17:24:00.807443
21,6,A,Some students are cleaning the desks.,f,1,2026-08-09 17:24:00.807443
22,6,B,Some students are leaving the classroom.,f,2,2026-08-09 17:24:00.807443
23,6,C,A teacher is writing a letter.,f,3,2026-08-09 17:24:00.807443
24,6,D,A teacher is giving a lesson to her students.,t,4,2026-08-09 17:24:00.807443
25,7,A,A man is arranging products on a shelf.,f,1,2026-08-09 17:24:00.807443
26,7,B,A man is selecting a product in a store.,t,2,2026-08-09 17:24:00.807443
27,7,C,A man is paying for his groceries.,f,3,2026-08-09 17:24:00.807443
28,7,D,A man is carrying a shopping basket.,f,4,2026-08-09 17:24:00.807443
29,8,A,Several people are having a meeting.,t,1,2026-08-09 17:24:00.807443
30,8,B,Several people are eating lunch together.,f,2,2026-08-09 17:24:00.807443
31,8,C,Some people are waiting in a hallway.,f,3,2026-08-09 17:24:00.807443
32,8,D,Some workers are leaving an office.,f,4,2026-08-09 17:24:00.807443
33,9,A,A woman is riding a bicycle.,f,1,2026-08-09 17:24:00.807443
34,9,B,A woman is sitting on a bench.,f,2,2026-08-09 17:24:00.807443
35,9,C,A woman is jogging in a park.,t,3,2026-08-09 17:24:00.807443
36,9,D,A woman is walking her dog.,f,4,2026-08-09 17:24:00.807443
37,10,A,Workers are building a structure.,t,1,2026-08-09 17:24:00.807443
38,10,B,Workers are cleaning a construction site.,f,2,2026-08-09 17:24:00.807443
39,10,C,Workers are painting a building.,f,3,2026-08-09 17:24:00.807443
40,10,D,Workers are carrying some boxes.,f,4,2026-08-09 17:24:00.807443
