id,group_id,question_number,question_text,question_type,explanation,knowledge,correct_answer,display_order,created_at,updated_at
1,1,1,The company needs to hire an additional _____ to manage its growing customer base.,grammar,"After 'an additional', a singular countable noun is needed. 'Manager' fits the sentence.",Danh từ đứng sau mạo từ,A,1,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
2,2,2,The marketing team developed a _____ strategy to increase online sales.,grammar,A noun is needed after the article and before 'strategy'. 'Successful' is the correct adjective.,Tính từ đứng trước danh từ,B,2,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
3,3,3,The technician repaired the machine _____ and returned it to the production line.,grammar,The adverb 'carefully' modifies the verb 'repaired'.,Trạng từ bổ nghĩa cho động từ,C,3,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
4,4,4,The director praised the employees for their _____ to the project.,grammar,"After 'their', a noun is required. 'Dedication' is the correct noun.",Danh từ đứng sau từ hạn định sở hữu,D,4,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
5,5,5,The new software system is extremely _____ to use.,grammar,The linking verb 'is' is followed by an adjective. 'Convenient' is correct.,Tính từ đứng sau động từ liên kết (linking verb),A,5,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
6,6,6,The instructions were _____ clear to all participants.,grammar,The adverb 'completely' modifies the adjective 'clear'.,Trạng từ bổ nghĩa cho tính từ,B,6,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
7,7,7,_____ of the new policy will begin next Monday.,grammar,A noun is needed as the subject of the sentence. 'Implementation' is correct.,Danh từ làm chủ ngữ,C,7,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
8,8,8,The documents submitted by the applicant were _____.,grammar,"After 'were', an adjective is needed to describe the documents. 'Accurate' is correct.",Tính từ làm bổ ngữ cho chủ ngữ,D,8,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
9,9,9,The manager is responsible for the _____ of all company records.,grammar,"After 'for the', a noun is needed. 'Maintenance' fits the sentence.",Danh từ đứng sau giới từ,A,9,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
10,10,10,The new policy is _____ different from the previous one.,grammar,The adverb 'significantly' modifies the adjective 'different'.,Trạng từ bổ nghĩa cho tính từ,B,10,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
11,11,11,The list of available products _____ updated every Friday.,grammar,"The main subject is singular 'list', so the singular verb 'is' is required.",Chủ ngữ số ít đi kèm cụm giới từ,A,11,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
12,12,12,The employees in the accounting department _____ required to attend the meeting.,grammar,"The subject 'employees' is plural, so 'are' is correct.",Chủ ngữ số nhiều,B,12,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
13,13,13,Each of the applicants _____ required to submit two references.,grammar,"'Each' takes a singular verb, so 'is' is correct.",Each + động từ số ít,C,13,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
14,14,14,Neither the manager nor the assistants _____ available this afternoon.,grammar,"With 'neither...nor', the verb agrees with the nearer subject, 'assistants', which is plural.",Sự hòa hợp với cấu trúc Neither...nor,D,14,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
15,15,15,The information about the new products _____ available on the website.,grammar,'Information' is uncountable and takes a singular verb.,Danh từ không đếm được,A,15,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
16,16,16,A number of customers _____ complained about the delayed delivery.,grammar,'A number of' is followed by a plural noun and plural verb.,A number of + danh từ số nhiều,B,16,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
17,17,17,The number of online orders _____ increased significantly this month.,grammar,"'The number' is singular, so 'has' is correct.",The number of + danh từ số nhiều,C,17,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
18,18,18,Every employee _____ a company identification card.,grammar,"'Every employee' is singular, so 'has' is correct.",Every + danh từ số ít,D,18,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
19,19,19,The equipment in the training room _____ regularly inspected.,grammar,'Equipment' is uncountable and takes a singular verb.,Danh từ không đếm được,A,19,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
