id,group_id,question_number,question_text,explanation,display_order,created_at,updated_at,knowledge
1,1,1,Look at the picture and listen to the four statements.,Correct answer: C. Image: /listening/part1/images/q01.jpg,1,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
2,2,2,Look at the picture and listen to the four statements.,Correct answer: B. Image: /listening/part1/images/q02.jpg,2,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
3,3,3,Look at the picture and listen to the four statements.,Correct answer: C. Image: /listening/part1/images/q03.jpg,3,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
4,4,4,Look at the picture and listen to the four statements.,Correct answer: B. Image: /listening/part1/images/q04.jpg,4,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
5,5,5,Look at the picture and listen to the four statements.,Correct answer: D. Image: /listening/part1/images/q05.jpg,5,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
6,6,6,Look at the picture and listen to the four statements.,Correct answer: D. Image: /listening/part1/images/q06.jpg,6,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
7,7,7,Look at the picture and listen to the four statements.,Correct answer: B. Image: /listening/part1/images/q07.jpg,7,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
8,8,8,Look at the picture and listen to the four statements.,Correct answer: A. Image: /listening/part1/images/q08.jpg,8,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
10,10,10,Look at the picture and listen to the four statements.,Correct answer: A. Image: /listening/part1/images/q10.jpg,10,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
11,11,11,Look at the picture and listen to the four statements.,Correct answer: B. Image: /listening/part1/images/q11.jpg,11,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
12,12,12,Look at the picture and listen to the four statements.,Correct answer: D. Image: /listening/part1/images/q12.jpg,12,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
13,13,13,Look at the picture and listen to the four statements.,Correct answer: D. Image: /listening/part1/images/q13.jpg,13,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
14,14,14,Look at the picture and listen to the four statements.,Correct answer: C. Image: /listening/part1/images/q14.jpg,14,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
15,15,15,Look at the picture and listen to the four statements.,Correct answer: A. Image: /listening/part1/images/q15.jpg,15,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
