id,lesson_id,title,audio_url,start_seconds,end_seconds,display_order,created_at,updated_at,image_url,knowledge
13,5,Question 13,/listening/part1/dataset01/q13.mp3,,,13,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q13.jpg,Part 1 – Mẹo 13: Chú ý sự khác nhau giữa looking at a computer và working on a computer.
14,17,Question 14,/listening/part1/dataset01/q14.mp3,,,14,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q14.jpg,"Part 1 – Mẹo 14: Khi người cầm vật, xác định rõ vật đang được cầm thay vì chỉ nhận diện vật trong ảnh."
15,5,Question 15,/listening/part1/dataset01/q15.mp3,,,15,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q15.jpg,"Part 1 – Mẹo 15: Với động tác di chuyển vật, chú ý các từ carrying, moving, lifting và putting."
16,9,Question 16,/listening/part1/dataset01/q16.mp3,,,16,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q16.jpg,"Part 1 – Mẹo 16: Đáp án đúng phải mô tả điều thực sự nhìn thấy, không phải điều có thể đang xảy ra."
17,17,Question 17,/listening/part1/dataset01/q17.mp3,,,17,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q17.jpg,"Part 1 – Mẹo 17: Nếu có người ngồi, phân biệt sitting at a desk với sitting on a chair."
18,17,Question 18,/listening/part1/dataset01/q18.mp3,,,18,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q18.jpg,"Part 1 – Mẹo 18: Khi nghe câu mô tả vị trí, xác định vật làm mốc trước rồi mới xác định vị trí."
19,1,Question 19,/listening/part1/dataset01/q19.mp3,,,19,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q19.jpg,"Part 1 – Mẹo 19: Các từ beside, next to và near có thể gần nghĩa nhưng cần khớp chính xác với hình."
20,1,Question 20,/listening/part1/dataset01/q20.mp3,,,20,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q20.jpg,"Part 1 – Mẹo 20: Nếu đáp án mô tả một hành động không có dấu hiệu trực quan trong ảnh, loại đáp án đó."
21,9,Question 21,/listening/part1/dataset01/q21.mp3,,,21,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q21.jpg,"Part 1 – Mẹo 21: Với ảnh ngoài trời, chú ý người đang walking, running, standing hoặc waiting."
22,17,Question 22,/listening/part1/dataset01/q22.mp3,,,22,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q22.jpg,Part 1 – Mẹo 22: Không nhầm giữa walking toward và walking away from một địa điểm.
23,9,Question 23,/listening/part1/dataset01/q23.mp3,,,23,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q23.jpg,"Part 1 – Mẹo 23: Khi có biển báo, kiểm tra xem người trong ảnh có thực sự tương tác với biển hay không."
24,1,Question 24,/listening/part1/dataset01/q24.mp3,,,24,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q24.jpg,Part 1 – Mẹo 24: Phân biệt holding một vật với touching hoặc pointing at vật đó.
40,17,Question 40,/listening/part1/dataset01/q40.mp3,,,40,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q40.jpg,"Part 1 – Mẹo 40: Với người cúi xuống, chú ý họ đang picking up, examining hay cleaning một vật."
42,17,Question 42,/listening/part1/dataset01/q42.mp3,,,42,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q42.jpg,Part 1 – Mẹo 42: Phân biệt người phục vụ đang carrying food với người đang eating.
43,13,Question 43,/listening/part1/dataset01/q43.mp3,,,43,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q43.jpg,"Part 1 – Mẹo 43: Với bàn ăn, chú ý vị trí của plates, cups, glasses và utensils."
44,17,Question 44,/listening/part1/dataset01/q44.mp3,,,44,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q44.jpg,"Part 1 – Mẹo 44: Nếu một người đang cầm ly, không nhất thiết người đó đang drinking."
45,17,Question 45,/listening/part1/dataset01/q45.mp3,,,45,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q45.jpg,"Part 1 – Mẹo 45: Nếu người đang cầm menu, phân biệt reading a menu với ordering food."
