id,question_id,option_label,option_text,display_order
677,201,A,The person is reviewing documents.,1
678,201,B,The person is organizing files.,2
679,201,C,The person is analyzing data.,3
680,202,A,The person is giving a presentation.,1
681,202,B,The person is leading a meeting.,2
682,202,D,The person is conducting training.,4
683,203,A,The person is discussing strategy.,1
684,203,B,The person is planning projects.,2
685,203,C,The person is brainstorming ideas.,3
686,204,A,The person is manufacturing goods.,1
687,204,B,The person is processing items.,2
688,204,D,The person is assembling products.,4
689,205,A,The person is having a party.,1
690,205,B,The person is enjoying achievement.,2
691,205,C,The person is celebrating success.,3
692,206,A,The person is greeting visitors.,1
693,206,B,The person is handling inquiries.,2
694,206,D,The person is answering calls.,4
695,207,A,Submit by Friday,1
696,207,B,Wait until Monday,2
697,207,C,Ask for extension,3
698,207,D,Cancel project,4
699,208,A,2 hours,1
700,208,B,45 minutes,2
701,208,C,All day,3
702,208,D,10 minutes,4
703,209,A,Out of stock,1
704,209,B,Pre-order only,2
705,209,C,50 in stock,3
706,209,D,Limited quantity,4
707,210,A,Free,1
708,210,B,$500 per year,2
709,210,C,$150 per month,3
710,210,D,Pay per use,4
711,211,A,I'm too busy,1
712,211,B,Ask someone else,2
713,211,C,"Yes, immediately",3
714,211,D,Not my responsibility,4
715,212,A,Exact time,1
716,212,B,Whenever,2
717,212,C,Don't come,3
718,212,D,15 minutes early,4
719,213,A,Not yet,1
720,213,B,Need more time,2
721,213,C,Cancelled,3
722,213,D,On your desk,4
723,214,A,25 participants,1
724,214,B,Over 100,2
725,214,C,Just a few,3
726,214,D,Nobody,4
727,215,A,Street only,1
728,215,B,Visitor lot,2
729,215,C,No parking,3
730,215,D,Valet,4
731,216,A,Formal,1
732,216,B,Casual,2
733,216,C,Costume,3
734,216,D,Business casual,4
735,217,A,No need,1
736,217,B,Optional,2
737,217,C,Tablets only,3
738,217,D,"Yes, for presentation",4
739,218,A,Side entrance,1
740,218,B,Main entrance with ID,2
741,218,C,Back door,3
742,218,D,Roof access,4
743,219,A,6 PM,1
744,219,B,24 hours,2
745,219,C,Closed today,3
746,219,D,9 PM weekdays,4
747,220,A,10% off members,1
748,220,B,No discount,2
749,220,C,Seasonal sale,3
750,220,D,Student discount,4
751,221,A,"No, fixed time",1
752,221,B,Maybe later,2
753,221,C,Cancel instead,3
754,221,D,"Yes, call to reschedule",4
755,222,A,Basic service only,1
756,222,B,Premium features,2
757,222,C,Full service with support,3
758,222,D,Nothing included,4
759,223,A,Online support,1
760,223,B,Call 1-800-555-1234,2
761,223,C,Use the app,3
762,223,D,Limited support,4
763,224,A,Expired last month,1
764,224,B,5-year warranty,2
765,224,C,Limited warranty,3
766,224,D,2 years remaining,4
767,225,A,Credit cards and cash,1
768,225,B,Cash only,2
769,225,C,All major cards,3
770,225,D,Cryptocurrency,4
771,226,A,No refunds,1
772,226,B,Store credit only,2
773,226,C,Within 30 days,3
774,226,D,Partial refund,4
775,227,A,3-year warranty,1
776,227,B,6 months,2
