id,question_id,option_label,option_text,display_order,is_correct
677,201,A,The person is reviewing documents.,1,f
678,201,B,The person is organizing files.,2,f
679,201,C,The person is analyzing data.,3,f
680,202,A,The person is giving a presentation.,1,f
681,202,B,The person is leading a meeting.,2,f
682,202,D,The person is conducting training.,4,f
683,203,A,The person is discussing strategy.,1,f
684,203,B,The person is planning projects.,2,f
685,203,C,The person is brainstorming ideas.,3,f
686,204,A,The person is manufacturing goods.,1,f
687,204,B,The person is processing items.,2,f
688,204,D,The person is assembling products.,4,f
689,205,A,The person is having a party.,1,f
690,205,B,The person is enjoying achievement.,2,f
691,205,C,The person is celebrating success.,3,f
692,206,A,The person is greeting visitors.,1,f
693,206,B,The person is handling inquiries.,2,f
694,206,D,The person is answering calls.,4,f
695,207,A,Submit by Friday,1,f
696,207,B,Wait until Monday,2,f
697,207,C,Ask for extension,3,f
698,207,D,Cancel project,4,f
699,208,A,2 hours,1,f
700,208,B,45 minutes,2,f
701,208,C,All day,3,f
702,208,D,10 minutes,4,f
703,209,A,Out of stock,1,f
704,209,B,Pre-order only,2,f
705,209,C,50 in stock,3,f
706,209,D,Limited quantity,4,f
707,210,A,Free,1,f
708,210,B,$500 per year,2,f
709,210,C,$150 per month,3,f
710,210,D,Pay per use,4,f
711,211,A,I'm too busy,1,f
712,211,B,Ask someone else,2,f
713,211,C,"Yes, immediately",3,f
714,211,D,Not my responsibility,4,f
715,212,A,Exact time,1,f
716,212,B,Whenever,2,f
717,212,C,Don't come,3,f
718,212,D,15 minutes early,4,f
719,213,A,Not yet,1,f
720,213,B,Need more time,2,f
721,213,C,Cancelled,3,f
722,213,D,On your desk,4,f
723,214,A,25 participants,1,f
724,214,B,Over 100,2,f
725,214,C,Just a few,3,f
726,214,D,Nobody,4,f
727,215,A,Street only,1,f
728,215,B,Visitor lot,2,f
729,215,C,No parking,3,f
730,215,D,Valet,4,f
731,216,A,Formal,1,f
732,216,B,Casual,2,f
733,216,C,Costume,3,f
734,216,D,Business casual,4,f
735,217,A,No need,1,f
736,217,B,Optional,2,f
737,217,C,Tablets only,3,f
738,217,D,"Yes, for presentation",4,f
739,218,A,Side entrance,1,f
740,218,B,Main entrance with ID,2,f
741,218,C,Back door,3,f
742,218,D,Roof access,4,f
743,219,A,6 PM,1,f
744,219,B,24 hours,2,f
745,219,C,Closed today,3,f
746,219,D,9 PM weekdays,4,f
747,220,A,10% off members,1,f
748,220,B,No discount,2,f
749,220,C,Seasonal sale,3,f
750,220,D,Student discount,4,f
751,221,A,"No, fixed time",1,f
752,221,B,Maybe later,2,f
753,221,C,Cancel instead,3,f
754,221,D,"Yes, call to reschedule",4,f
755,222,A,Basic service only,1,f
756,222,B,Premium features,2,f
757,222,C,Full service with support,3,f
758,222,D,Nothing included,4,f
759,223,A,Online support,1,f
760,223,B,Call 1-800-555-1234,2,f
761,223,C,Use the app,3,f
762,223,D,Limited support,4,f
763,224,A,Expired last month,1,f
764,224,B,5-year warranty,2,f
765,224,C,Limited warranty,3,f
766,224,D,2 years remaining,4,f
767,225,A,Credit cards and cash,1,f
768,225,B,Cash only,2,f
769,225,C,All major cards,3,f
770,225,D,Cryptocurrency,4,f
771,226,A,No refunds,1,f
772,226,B,Store credit only,2,f
773,226,C,Within 30 days,3,f
774,226,D,Partial refund,4,f
775,227,A,3-year warranty,1,f
776,227,B,6 months,2,f
777,227,C,Extended warranty,3,f
778,227,D,One year from purchase,4,f
779,228,A,Paid service,1,f
780,228,B,DIY only,2,f
781,228,C,Free installation,3,f
782,228,D,No installation,4,f
783,229,A,No,1,f
784,229,B,Made from recycled materials,2,f
785,229,C,Partially eco-friendly,3,f
786,229,D,Unknown,4,f
787,230,A,Online tracking available,1,f
788,230,B,No tracking,2,f
789,230,C,Email updates only,3,f
790,230,D,Call for status,4,f
791,231,A,Next day delivery,1,f
792,231,B,2 weeks,2,f
793,231,C,3-5 business days,3,f
794,231,D,Same day,4,f
795,232,A,On track,1,f
796,232,B,Delayed,2,f
797,232,C,Cancelled,3,f
798,232,D,Behind schedule,4,f
799,233,A,Finalize the report,1,f
800,233,B,Start over,2,f
801,233,C,Cancel it,3,f
802,233,D,Delay it,4,f
803,234,A,The client,1,f
804,234,B,The team,2,f
805,234,C,Management,3,f
806,234,D,External consultants,4,f
807,235,A,On track,1,f
808,235,B,Delayed,2,f
809,235,C,Cancelled,3,f
810,235,D,Behind schedule,4,f
811,236,A,Start over,1,f
812,236,B,Cancel it,2,f
813,236,C,Finalize the report,3,f
814,236,D,Delay it,4,f
815,237,A,The client,1,f
816,237,B,Management,2,f
817,237,C,The team,3,f
818,237,D,External consultants,4,f
819,238,A,On track,1,f
820,238,B,Delayed,2,f
821,238,C,Cancelled,3,f
822,238,D,Behind schedule,4,f
823,239,A,Start over,1,f
824,239,B,Cancel it,2,f
825,239,C,Delay it,3,f
826,239,D,Finalize the report,4,f
827,240,A,The client,1,f
828,240,B,Management,2,f
829,240,C,External consultants,3,f
830,240,D,The team,4,f
831,241,A,Delayed,1,f
832,241,B,Cancelled,2,f
833,241,C,Behind schedule,3,f
834,241,D,On track,4,f
835,242,A,Start over,1,f
836,242,B,Cancel it,2,f
837,242,C,Delay it,3,f
838,242,D,Finalize the report,4,f
839,243,A,The client,1,f
840,243,B,The team,2,f
841,243,C,Management,3,f
842,243,D,External consultants,4,f
843,244,A,Delayed,1,f
844,244,B,Cancelled,2,f
845,244,C,Behind schedule,3,f
846,244,D,On track,4,f
847,245,A,Start over,1,f
848,245,B,Cancel it,2,f
849,245,C,Finalize the report,3,f
850,245,D,Delay it,4,f
851,246,A,The client,1,f
852,246,B,Management,2,f
853,246,C,External consultants,3,f
854,246,D,The team,4,f
855,247,A,On track,1,f
856,247,B,Delayed,2,f
857,247,C,Cancelled,3,f
858,247,D,Behind schedule,4,f
859,248,A,Start over,1,f
860,248,B,Cancel it,2,f
861,248,C,Finalize the report,3,f
862,248,D,Delay it,4,f
863,249,A,The client,1,f
864,249,B,The team,2,f
865,249,C,Management,3,f
866,249,D,External consultants,4,f
867,250,A,On track,1,f
868,250,B,Delayed,2,f
869,250,C,Cancelled,3,f
870,250,D,Behind schedule,4,f
871,251,A,Start over,1,f
872,251,B,Cancel it,2,f
873,251,C,Finalize the report,3,f
874,251,D,Delay it,4,f
875,252,A,The client,1,f
876,252,B,Management,2,f
877,252,C,The team,3,f
878,252,D,External consultants,4,f
879,253,A,Delayed,1,f
880,253,B,Cancelled,2,f
881,253,C,Behind schedule,3,f
882,253,D,On track,4,f
883,254,A,Finalize the report,1,f
884,254,B,Start over,2,f
885,254,C,Cancel it,3,f
886,254,D,Delay it,4,f
887,255,A,The client,1,f
888,255,B,The team,2,f
889,255,C,Management,3,f
890,255,D,External consultants,4,f
891,256,A,Delayed,1,f
892,256,B,On track,2,f
893,256,C,Cancelled,3,f
894,256,D,Behind schedule,4,f
